,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,g,hilb1,hilb2,hilb3,hilb4,hilb5,hilb6,e
f1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,5,15,35,69,121,195,-56
f2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,2,4,11,24,46,79,126,-72
f3,1,1,1,1,3,0,0,0,0,0,0,0,0,0,2,4,10,21,39,66,104,-100
f4,1,1,1,2,2,0,0,0,0,0,0,0,0,0,1,3,8,16,30,50,79,-78
f5,1,1,1,2,3,0,0,0,0,0,0,0,0,0,1,3,7,14,25,41,64,-98
f6,1,1,1,2,4,0,0,0,0,0,0,0,0,0,1,3,7,13,23,37,57,-124
f7,1,1,1,3,4,0,0,0,0,0,0,0,0,0,1,3,6,11,19,30,45,-138
f8,1,1,1,3,5,0,0,0,0,0,0,0,0,0,1,3,6,11,18,28,42,-166
f9,1,1,1,4,6,0,0,0,0,0,0,0,0,0,1,3,6,10,16,24,35,-218
f10,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,2,5,9,16,25,39,-86
f11,1,1,2,2,5,0,0,0,0,0,0,0,0,0,0,2,5,8,14,21,32,-124
f12,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,2,4,8,13,20,31,-94
f13,1,1,2,3,4,0,0,0,0,0,0,0,0,0,0,2,4,7,12,18,27,-108
f14,1,1,2,3,5,0,0,0,0,0,0,0,0,0,0,2,4,7,11,17,25,-126
f15,1,1,2,3,6,0,0,0,0,0,0,0,0,0,0,2,4,7,11,16,24,-146
f16,1,1,2,4,5,0,0,0,0,0,0,0,0,0,0,2,4,6,10,15,22,-136
f17,1,1,2,4,7,0,0,0,0,0,0,0,0,0,0,2,4,6,10,14,20,-176
f18,1,1,2,5,7,0,0,0,0,0,0,0,0,0,0,2,4,6,9,13,18,-190
f19,1,1,2,5,8,0,0,0,0,0,0,0,0,0,0,2,4,6,9,13,18,-212
f20,1,1,2,6,9,0,0,0,0,0,0,0,0,0,0,2,4,6,9,12,17,-252
f21,1,1,3,4,4,0,0,0,0,0,0,0,0,0,0,2,3,5,9,13,18,-116
f22,1,1,3,4,5,0,0,0,0,0,0,0,0,0,0,2,3,5,8,12,17,-128
f23,1,1,3,4,7,0,0,0,0,0,0,0,0,0,0,2,3,5,8,11,15,-160
f24,1,1,3,4,8,0,0,0,0,0,0,0,0,0,0,2,3,5,8,11,15,-178
f25,1,1,3,5,6,0,0,0,0,0,0,0,0,0,0,2,3,5,7,10,15,-152
f26,1,1,3,5,9,0,0,0,0,0,0,0,0,0,0,2,3,5,7,10,14,-204
f27,1,1,3,7,10,0,0,0,0,0,0,0,0,0,0,2,3,5,7,9,12,-248
f28,1,1,3,7,11,0,0,0,0,0,0,0,0,0,0,2,3,5,7,9,12,-268
f29,1,1,3,8,12,0,0,0,0,0,0,0,0,0,0,2,3,5,7,9,12,-304
f30,1,1,4,5,6,0,0,0,0,0,0,0,0,0,0,2,3,4,6,9,13,-150
f31,1,1,4,5,10,0,0,0,0,0,0,0,0,0,0,2,3,4,6,9,12,-212
f32,1,1,4,6,7,0,0,0,0,0,0,0,0,0,0,2,3,4,6,8,11,-172
f33,1,1,4,6,11,0,0,0,0,0,0,0,0,0,0,2,3,4,6,8,11,-236
f34,1,1,4,9,14,0,0,0,0,0,0,0,0,0,0,2,3,4,6,8,10,-326
f35,1,1,4,10,15,0,0,0,0,0,0,0,0,0,0,2,3,4,6,8,10,-360
f36,1,1,5,7,8,0,0,0,0,0,0,0,0,0,0,2,3,4,5,7,9,-194
f37,1,1,5,7,13,0,0,0,0,0,0,0,0,0,0,2,3,4,5,7,9,-270
f38,1,1,5,12,18,0,0,0,0,0,0,0,0,0,0,2,3,4,5,7,9,-418
f39,1,1,6,8,9,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,8,-216
f40,1,1,6,8,15,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,8,-304
f41,1,1,6,14,21,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,8,-476
f42,1,2,2,3,5,0,0,0,0,0,0,0,0,0,-1,1,3,4,7,10,15,-90
f43,1,2,2,3,7,0,0,0,0,0,0,0,0,0,-1,1,3,4,7,9,14,-116
f44,1,2,3,3,4,0,0,0,0,0,0,0,0,0,-1,1,2,4,6,8,13,-76
f45,1,2,3,4,5,0,0,0,0,0,0,0,0,0,-1,1,2,3,5,7,10,-86
f46,1,2,3,4,7,0,0,0,0,0,0,0,0,0,-1,1,2,3,5,6,9,-104
f47,1,2,3,4,9,0,0,0,0,0,0,0,0,0,-1,1,2,3,5,6,9,-126
f48,1,2,3,5,5,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,7,9,-92
f49,1,2,3,5,7,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,6,8,-108
f50,1,2,3,5,8,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,6,8,-118
f51,1,2,3,5,10,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,6,8,-140
f52,1,2,3,7,9,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,5,7,-140
f53,1,2,3,7,12,0,0,0,0,0,0,0,0,0,-1,1,2,3,4,5,7,-174
